,word,corr,counts
0,',-0.023750913487159592,572
1,'bout,-0.009029937690755784,39
2,'buy,-0.011768847069026664,37
3,'cause,-0.014519664993816916,121
4,'em,0.008112663534920985,147
5,'s,0.00912915230379663,238
6,'sell,-0.015099812097251529,34
7,'the,0.0025484851317357448,51
8,'til,-0.013448435989934872,42
9,0,-0.006107469557105739,289
10,00,-0.004736658118603878,309
11,09,0.005698299004859433,63
12,1,-0.00622301097033027,2112
13,10,-0.020647544349052548,976
14,100,0.04844466404331438,1610
15,100th,0.008550878624745097,34
16,10am,-0.004672358102189384,58
17,10pm,-0.004644085313234326,34
18,10th,-0.0018157943291261113,45
19,11,-0.009553246319062679,383
20,11am,0.004029037202395635,43
21,11th,-0.001815794329126147,32
22,12,-0.015321460991537065,453
23,12th,0.0018019610045832905,32
24,13,0.0022173549715257188,154
25,14,0.009872205275987657,145
26,140,0.023789467464232272,253
27,15,-0.009266888729405285,428
28,150,-0.0069964030021058485,38
29,15th,-0.007660625860648007,49
30,16,-0.012401316797782455,144
31,16th,0.0005837780787742844,39
32,17,0.012225967309436942,117
33,17th,0.0005837780787742839,45
34,18,0.0011678482047848017,177
35,18th,0.005698299004859413,55
36,19,-0.003397606522694092,89
37,19fischi75,-0.015099812097251506,54
38,19th,0.005811641470782896,48
39,1am,-0.009549482151816108,52
40,1st,-0.0012116065908550628,446
41,2,-0.026948035429272474,5950
42,20,-0.0030622636640667165,442
43,200,-0.008045132907997885,154
44,2008,-0.008569237253306498,42
45,2009,0.014688365635337243,131
46,2010,-0.008569237253306477,57
47,20th,-0.004946956615578571,42
48,21,0.008075193942855033,116
49,21st,0.0005837780787742835,57
50,22,0.0015899625605594403,85
51,23,0.0015899625605594405,75
52,24,0.005712277155887431,185
53,25,0.004542406882361283,146
54,26,0.002275960378230151,64
55,27,-0.0012490169757659896,61
56,28,0.004225557206781564,62
57,29,-0.0007754789510723046,49
58,2am,-0.008569237253306492,57
59,2day,-0.009497372156403902,298
60,2moro,-0.011380500204031663,71
61,2morrow,-0.006520432657171839,113
62,2nd,-0.002596040319693248,265
63,2night,0.008550878624745099,40
64,2nite,0.00717091221006947,105
65,2pm,0.0015651034017215596,40
66,3,0.0056451289944918406,4329
67,30,-0.015468906761460888,749
68,300,-0.00027289175626788495,95
69,30am,-0.006608703873845749,102
70,30pm,0.0005837780787742817,55
71,30secondstomars,-0.0007754789510722794,59
72,31,-0.0022239589351850503,33
73,32,-0.006996403002105902,35
74,33,0.00837390211477965,310
75,35,0.002548485131735749,66
76,36,-0.004644085313234322,40
77,360,-0.01350545739216973,55
78,3am,-0.006520432657171867,79
79,3d,0.009101252543010738,95
80,3g,-0.002568092201416351,60
81,3gs,-0.009871948705242932,32
82,3rd,0.0010113018852455408,212
83,4,-0.015560269116210052,2490
84,40,-0.014231664034292633,172
85,400,0.004225557206781558,46
86,45,-0.0052996535623804015,130
87,4am,-0.0007754789510722933,84
88,4pm,-0.00954948215181611,33
89,4th,-0.006608703873845761,125
90,5,-0.019525136498696333,1377
91,50,-0.007302317927478214,222
92,500,0.004832578251707234,122
93,55,0.008644055505960688,38
94,5am,-0.016645328087562795,81
95,5pm,-0.00019294109239756583,46
96,5th,0.00022949762975545032,91
97,6,-0.00663646147475771,787
98,60,0.0022759603782301478,66
99,600,0.008550878624745096,38
100,6am,-0.003145467513708199,85
101,6pm,-0.010834483407692087,39
102,6th,0.0008256556953973819,65
103,7,-0.012560131682461353,667
104,70,-0.004895268821736088,51
105,75,-0.0022239589351850902,45
106,7am,-0.008298971683758306,77
107,7pm,0.0018019610045832478,34
108,7th,0.0005837780787742866,43
109,8,-0.024587848248110108,658
110,80,-0.0016526531305883175,69
111,8am,-0.013270362944099098,65
112,8pm,-0.01169587423574038,36
113,8th,0.004029037202395633,53
114,9,0.0008948452633369943,450
115,90,-0.006996403002105896,73
116,95,-0.0046440853132343135,38
117,99,0.003604462773219087,70
118,9am,-0.011695874235740415,52
119,9pm,-0.00699640300210584,45
120,9th,-0.00019294109239755802,39
121,_,-0.010320267279531515,180
122,__,0.0058116414707828955,68
123,_corruptedangel,-0.00019294109239754775,32
124,_crc_,0.012850892440218645,79
125,a,0.025764555235709977,53838
126,aa,-0.002223958935185061,38
127,aah,-0.008049202831716692,153
128,aahh,0.00022949762975546384,68
129,aaw,0.0005837780787742853,55
130,aaww,-0.0001929410923975473,73
131,abc,0.000583778078774289,34
132,abit,0.0042255572067815715,45
133,able,-0.029742583285091155,748
134,about,-0.016035734589038304,7422
135,above,0.00254848513173572,73
136,absolutely,0.004542406882361335,315
137,abt,-0.006924456671226955,180
138,ac,-0.011823949037754525,85
139,accent,-0.002568092201416362,63
140,accept,-0.008298971683758278,75
141,accepted,0.0085508786247451,35
142,access,0.003345268420326833,129
143,accident,-0.018873903745746805,92
144,accidentally,-0.006996403002105868,48
145,according,0.003121400200044793,68
146,account,0.006746707928665489,379
147,accounts,-0.0046440853132343205,60
148,ace,-0.000272891756267892,87
149,ache,-0.02751873947095221,130
150,aches,-0.016541291135947465,42
151,aching,-0.0022239589351850976,38
152,ack,-0.006752391039953155,34
153,acoustic,0.008550878624745102,38
154,across,0.001740087457022067,147
155,act,-0.004672358102189396,126
156,acting,-0.004773994329762177,119
157,action,6.527327654014415e-05,100
158,active,0.004225557206781584,50
159,actor,-0.0018157943291261284,50
160,actual,-0.00033426179662822907,87
161,actually,-0.003812234408207448,1688
162,ad,0.013715897725231923,156
163,adam,0.0016590657765033646,168
164,add,0.06076315911406926,1569
165,added,0.014897240601460209,222
166,addict,-0.006996403002105888,39
167,addicted,0.002213685713746157,134
168,addicting,0.01209337326557735,35
169,addiction,0.003604462773219082,71
170,addictive,0.00821958729597117,45
171,adding,0.004225557206781563,75
172,address,0.0036044627732191516,100
173,admit,0.007048925080741172,116
174,adorable,0.01819478047165833,204
175,adore,0.007320929198656557,61
176,ads,-0.0018157943291261475,64
177,adult,-0.002568092201416324,35
178,advance,0.004225557206781575,48
179,advantage,-0.0007754789510722889,38
180,adventure,0.0018019610045832508,35
181,adventures,0.002548485131735751,33
182,advice,0.013477590373841527,132
183,afford,-0.0292126507315282,239
184,afraid,-0.011340516132058758,233
185,africa,0.007320929198656535,32
186,after,-0.011229590761157596,2206
187,afternoon,0.01536475535346994,611
188,afterwards,0.0031214002000448,54
189,again,-0.029626698402840393,4024
190,against,-0.009364627090628842,165
191,age,0.009872377080545608,194
192,agentbooth,0.006981646789585065,32
193,ages,-0.005450290972631399,273
194,agh,-0.01509981209725154,51
195,ago,-0.011033986381876313,840
196,agree,0.003360692893801198,616
197,agreed,0.002747736696000428,123
198,ah,0.002207569833775911,990
199,aha,0.013374065348500589,241
200,ahah,-0.0007754789510722904,87
201,ahaha,0.0018240056275711093,182
202,ahahaha,-0.007660625860647961,48
203,ahead,-0.003500973743507194,237
204,ahem,0.005811641470782896,35
205,ahh,-0.017085546325389115,1303
206,aianna21,-0.009549482151816113,33
207,aid,-0.006752391039953143,32
208,aight,0.013964690211135182,44
209,aim,-0.004895268821736126,122
210,ain't,-0.009226109240589782,186
211,aint,-0.012209273296878593,354
212,air,-0.013860506792267625,378
213,airport,-0.015856178161486285,179
214,aj,-0.0018157943291261687,39
215,ak618,-0.013505457392169701,36
216,aka,0.0022759603782301556,74
217,ako,0.0018019610045832699,36
218,al,-0.0028713101048895035,86
219,alarm,-0.0023262801871783713,99
220,alas,-0.004773994329762157,89
221,alaska,0.004225557206781571,35
222,album,0.021863102933944948,511
223,albums,-0.00464408531323432,45
224,alcohol,0.01285089244021866,111
225,alex,-0.0020075097125022553,126
226,alexalltimelow,-0.001652653130588338,99
227,alice,0.008550878624745083,40
228,alive,-0.005299653562380395,154
229,all,-0.005264156157373291,12361
230,allen,0.0025484851317357886,52
231,allergic,-0.007660625860647928,75
232,allergies,-0.00902993769075577,78
233,allow,-0.004611439391576659,62
234,allowed,-0.02068469293553282,182
235,almost,-0.01383798077624537,925
236,alone,-0.02058962663923524,564
237,along,0.005637456065178025,332
238,alot,-0.0104539864898715,310
239,aloud,0.008644055505960672,37
240,already,-0.013340596615626777,1922
241,alright,0.018106732347554572,471
242,alrighty,0.001801961004583271,43
243,also,0.0016995870720082859,1518
244,altho,-0.001815794329126193,33
245,although,-0.013407941289823467,316
246,always,0.019576173056582092,2551
247,am,-0.030450998008451424,7246
248,amanda,0.005811641470782897,55
249,amazed,0.007018279351161901,37
250,amazing,0.04143330288829949,1477
251,amazon,0.0015899625605594516,76
252,amen,-0.0018157943291261505,46
253,america,-0.017404208544123608,139
254,american,0.011852591331584615,158
255,among,-0.006996403002105826,42
256,amount,0.0022136857137461325,76
257,amp,0.0038099092900603566,8132
258,amsterdam,-0.004644085313234329,32
259,amusing,0.006981646789585012,45
260,amy,0.001565103401721538,82
261,an,-0.002234112724417247,4582
262,and,-0.012924527011909853,39995
263,andrea,-0.0018157943291261635,38
264,andrew,0.007320929198656531,42
265,andy,0.0010113018852455416,129
266,andyclemmensen,0.013715897725231949,178
267,andyhurleyday,0.009831494607997288,102
268,ang,0.005811641470782898,57
269,angel,0.00932591508622249,117
270,angels,-0.010451090429633889,151
271,anger,-0.004946956615578574,32
272,angry,-0.02038831995776099,142
273,animal,0.0015899625605594477,62
274,animals,0.008550878624745104,67
275,anime,-0.006996403002105887,32
276,ankle,-0.01182394903775448,70
277,anna,0.013729358203610011,66
278,anne,-0.004644085313234333,32
279,anniversary,-0.006701287804554209,71
280,announce,-0.007660625860647983,32
281,annoy,-0.004611439391576634,39
282,annoyed,-0.0124013167977825,129
283,annoying,-0.005377780821059771,527
284,anoop,0.005698299004859414,40
285,anoopdoggdesai,-0.0018157943291261627,35
286,another,-0.013138632647656764,1724
287,answer,0.005317474241938997,406
288,answered,-0.010834483407692075,75
289,answering,-0.0012839176811155581,46
290,answers,-0.009029937690755743,47
291,ant,0.0005837780787742846,37
292,anti,-0.004946956615578571,45
293,any,-0.01981823252495314,2365
294,anybody,-0.007997828794683573,103
295,anymore,-0.04481664514422149,882
296,anyone,-0.010808362503480605,1010
297,anything,-0.022314055560279492,1337
298,anytime,0.013931265343678018,213
299,anyway,0.003898824833799346,749
300,anyways,0.0059833057368937495,243
301,anywhere,-0.013347043820761226,170
302,anz_rocks19,0.010915158502279,49
303,apart,-0.011436132214221947,175
304,apartment,0.004832578251707225,60
305,api,0.000583778078774284,44
306,aplusk,0.012093373265577325,54
307,apologies,-0.013505457392169707,39
308,apologize,-0.0022239589351850933,44
309,app,0.009909126267308612,236
310,apparently,-0.017674751079612003,378
311,appear,-0.004611439391576646,75
312,appears,-0.004644085313234329,50
313,apple,0.007836023528501015,257
314,applecored,-0.004644085313234319,39
315,application,0.0005837780787742864,50
316,applied,-0.001283917681115563,38
317,apply,-0.0065682759051763915,48
318,appointment,-0.019021180354825154,60
319,appreciate,0.02226656753032643,327
320,appreciated,0.009831494607997291,122
321,apprentice,-0.002871310104889507,76
322,appropriate,0.0018019610045832662,42
323,apps,-0.006701287804554204,99
324,appt,-0.006996403002105868,35
325,april,0.00022949762975545246,72
326,apt,-0.004644085313234322,40
327,archie,0.0025484851317357496,38
328,architeuth1s,0.0005837780787742882,33
329,archuleta,0.009831494607997298,59
330,are,0.050856367813782305,14059
331,area,0.0057122771558874045,197
332,aren't,-0.012341112682667164,423
333,arent,-0.006522321289120299,108
334,argentina,0.004225557206781576,44
335,argh,-0.023848969124385288,226
336,arghh,-0.018873903745746823,72
337,argue,-0.002223958935185035,36
338,arm,-0.008137884512883874,137
339,arms,-0.009647036055546496,100
340,army,0.008644055505960688,51
341,around,-0.004390104357647675,1308
342,arrive,-0.0028713101048895152,75
343,arrived,6.527327654015561e-05,152
344,arse,-0.006701287804554207,64
345,art,0.00509850034914055,198
346,article,-0.001096857440279658,125
347,articles,-0.00019294109239754683,42
348,artist,0.00422555720678157,74
349,artists,-0.013505457392169695,36
350,as,0.024772739086316116,6449
351,asap,-0.00655531579317106,113
352,asda,0.00581164147078289,38
353,ash,-0.006701287804554232,46
354,ashamed,-0.011768847069026686,43
355,ashley,0.012093373265577337,84
356,ashleytisdale,0.000583778078774285,41
357,asia,0.008219587295971173,100
358,asian,-0.00019294109239751528,58
359,ask,0.012213247402111695,667
360,asked,-0.001250102937610597,325
361,asking,0.003943525766320001,270
362,asks,-0.004946956615578603,34
363,asleep,-0.025856975215584662,552
364,asot400,0.0058116414707828894,42
365,ass,-0.015298129756039234,581
366,asshole,-0.004946956615578561,37
367,assignment,-0.0007093147885595288,92
368,assignments,-0.021356139106323967,56
369,assume,0.005811641470782887,50
370,assuming,-0.0046114393915766515,36
371,astynes,-0.0001929410923975405,35
372,aswell,-0.012401316797782492,129
373,at,-0.03947385884903246,12730
374,ate,-0.006424730590559654,366
375,atl,-0.0006981481203091337,148
376,atlanta,-0.00987194870524293,59
377,atlantic,-0.009871948705242927,36
378,atleast,-0.005162054490930974,89
379,atm,-0.011336237731898681,217
380,attack,-0.0007754789510722879,99
381,attacked,-0.015099812097251553,40
382,attempt,-0.002871310104889514,79
383,attend,-0.0018157943291261434,64
384,attention,0.0005094941165742133,162
385,attitude,0.0025484851317357443,39
386,audience,-0.007660625860647979,37
387,audio,-0.006996403002105874,62
388,audition,0.0040290372023956385,41
389,august,-0.012596270660487302,153
