,word,corr,counts
0,0,-0.005296553984753938,324
1,00,-0.00389608649002429,319
2,01,0.0025484851317357483,41
3,07,0.004225557206781589,35
4,09,0.008075193942855012,103
5,1,-0.007230910332495539,2172
6,10,-0.020647544349052548,991
7,100,0.04844466404331438,1613
8,100th,0.008550878624745097,34
9,10am,-0.004672358102189384,58
10,10pm,-0.004644085313234326,34
11,10th,-0.0018157943291261113,45
12,11,-0.006552184104575319,414
13,11am,0.004029037202395635,43
14,12,-0.015321460991537065,456
15,127,0.004029037202395623,36
16,13,0.0007262918583424092,178
17,14,0.010698262453432384,159
18,140,0.023789467464232272,253
19,15,-0.009353468958856543,447
20,150,-0.0069964030021058485,39
21,15th,-0.007660625860648007,49
22,16,-0.005437495332936129,169
23,16th,0.0005837780787742844,39
24,17,0.010982687220663371,126
25,17th,0.0005837780787742839,45
26,18,0.0007262918583423979,185
27,18th,0.005698299004859413,55
28,19,-0.003397606522694092,95
29,19fischi75,-0.015099812097251506,54
30,19th,0.005811641470782896,48
31,1am,-0.009549482151816108,52
32,1st,-0.0012116065908550628,449
33,2,0.0007262918583423402,151
34,20,-0.0024355988928564986,458
35,200,-0.008045132907997885,159
36,2008,0.0022136857137461286,66
37,2009,0.015438681860418624,138
38,2010,-0.008298971683758352,60
39,20th,-0.004946956615578571,42
40,21,0.007048925080741159,122
41,21st,0.0005837780787742835,58
42,22,-0.002007509712502259,94
43,23,0.0015899625605594405,79
44,24,0.007485438714843085,193
45,25,0.005408046881749449,160
46,26,0.00022949762975544766,69
47,27,-0.0012490169757659896,65
48,28,0.004225557206781564,70
49,29,-0.0007754789510723046,49
50,2am,-0.008569237253306492,57
51,2moro,-0.011380500204031663,72
52,2morrow,-0.006520432657171839,113
53,2nd,-0.002596040319693248,265
54,2night,0.008550878624745099,40
55,2nite,0.00717091221006947,107
56,2pm,-0.0007754789510723068,41
57,3,0.006296596053083123,4373
58,30,-0.013776900518560765,766
59,300,-0.00027289175626788495,96
60,30am,-0.006608703873845749,102
61,30pm,0.0005837780787742817,55
62,30secondstomars,-0.0007754789510722794,59
63,30stm,0.0058116414707828894,33
64,31,-0.0022239589351850503,33
65,32,-0.006996403002105902,37
66,33,0.00837390211477965,313
67,35,0.002548485131735749,67
68,36,-0.004644085313234322,41
69,360,-0.01350545739216973,57
70,3am,-0.006520432657171867,79
71,3d,0.009101252543010738,95
72,3g,-0.002568092201416351,60
73,3rd,0.0010113018852455408,213
74,4,-0.004773994329762152,62
75,40,-0.014231664034292633,173
76,400,0.004225557206781558,46
77,42,0.001801961004583233,34
78,45,-0.0052996535623804015,130
79,4am,-0.0007754789510722933,84
80,4pm,-0.00954948215181611,33
81,4th,-0.006608703873845761,126
82,5,-0.020008484573670896,1413
83,50,-0.00833937296717398,231
84,500,0.004832578251707234,123
85,55,0.008644055505960688,39
86,5am,-0.016645328087562795,81
87,5pm,-0.00019294109239756583,46
88,5th,0.00022949762975545032,91
89,6,-0.006226416743230552,803
90,60,0.0028518230101583137,73
91,600,0.008550878624745096,38
92,66,-0.0001929410923975015,48
93,6am,-0.003145467513708199,85
94,6pm,-0.010834483407692087,39
95,6th,0.0008256556953973819,65
96,7,-0.012601864197078035,683
97,70,-0.004895268821736088,69
98,75,-0.0022239589351850902,46
99,7am,-0.008298971683758306,77
100,7pm,0.0018019610045832478,34
101,7th,0.0005837780787742866,43
102,8,-0.024587848248110108,668
103,80,6.52732765401536e-05,111
104,80s,0.008644055505960683,35
105,88,0.0025484851317357565,38
106,8am,-0.013270362944099098,65
107,8pm,-0.01169587423574038,36
108,8th,0.004029037202395633,53
109,9,0.0015055765118035932,463
110,90,-0.008569237253306486,124
111,93,0.0018019610045832389,35
112,95,-0.0046440853132343135,42
113,98,0.005698299004859408,32
114,99,0.0022136857137461468,96
115,9am,-0.011695874235740415,52
116,9pm,-0.00699640300210584,44
117,9th,-0.00019294109239755802,39
118,a,0.025949519886182604,54239
119,aa,-0.004611439391576656,40
120,aah,-0.008049202831716692,152
121,aahh,0.00022949762975546384,68
122,aaron,-0.0012839176811155636,35
123,aaw,0.0005837780787742853,55
124,aaww,-0.0001929410923975473,74
125,abc,0.0025484851317357157,36
126,abit,0.0042255572067815715,45
127,able,-0.029742583285091155,749
128,about,-0.016035734589038304,7425
129,above,0.00254848513173572,73
130,absolutely,0.004542406882361335,315
131,abt,-0.006924456671226955,180
132,ac,-0.011823949037754525,87
133,accent,-0.002568092201416362,64
134,accept,-0.008298971683758278,75
135,accepted,0.0085508786247451,36
136,access,0.003345268420326833,130
137,accident,-0.018873903745746805,93
138,accidentally,-0.006996403002105868,48
139,according,0.003121400200044793,68
140,account,0.006746707928665489,378
141,accounts,-0.0046440853132343205,60
142,ace,0.0010113018852455496,97
143,ache,-0.02751873947095221,130
144,aches,-0.016541291135947465,42
145,aching,-0.0022239589351850976,38
146,ack,-0.006752391039953155,34
147,acoustic,0.008550878624745102,38
148,across,0.001740087457022067,147
149,act,-0.004672358102189396,130
150,acting,-0.0031454675137082056,122
151,action,6.527327654014415e-05,102
152,active,0.004225557206781584,50
153,actor,-0.0018157943291261284,50
154,actual,-0.00033426179662822907,87
155,actually,-0.0034671669404528474,1689
156,ad,0.013715897725231923,158
157,adam,-0.002885878564782198,193
158,add,0.060962741810426255,1571
159,added,0.014897240601460209,222
160,addict,-0.0007754789510722987,54
161,addicted,0.002213685713746157,134
162,addicting,0.01209337326557735,35
163,addiction,0.003604462773219082,71
164,addictive,0.00821958729597117,45
165,adding,0.004225557206781563,75
166,address,0.0036044627732191516,100
167,admit,0.007048925080741172,116
168,adorable,0.01819478047165833,204
169,adore,0.007320929198656557,62
170,ads,-0.0018157943291261475,65
171,adult,-0.002568092201416324,36
172,advance,0.004225557206781575,48
173,advantage,-0.0007754789510722889,38
174,adventure,0.004029037202395632,40
175,adventures,0.002548485131735751,33
176,advice,0.013477590373841527,132
177,afford,-0.0292126507315282,239
178,afraid,-0.011340516132058758,233
179,after,-0.011229590761157596,2207
180,afternoon,0.01536475535346994,614
181,afterwards,0.0031214002000448,54
182,again,-0.029626698402840393,4026
183,against,-0.009364627090628842,166
184,age,0.009872377080545608,198
185,agent,-0.00461143939157665,38
186,ages,-0.005450290972631399,273
187,agh,-0.01509981209725154,51
188,ago,-0.011033986381876313,840
189,agree,0.003360692893801198,617
190,agreed,0.002747736696000428,123
191,ah,0.0015369580779361425,993
192,aha,0.013374065348500589,241
193,ahah,-0.0007754789510722904,87
194,ahaha,0.0018240056275711093,182
195,ahahaha,-0.007660625860647961,48
196,ahead,-0.003500973743507194,238
197,ahem,0.005811641470782896,35
198,ahh,-0.017085546325389115,1303
199,ai,-0.00930808187020245,218
200,aianna21,-0.009549482151816113,33
201,aid,-0.006752391039953143,33
202,aight,0.013964690211135182,44
203,aint,-0.012209273296878593,355
204,air,-0.013860506792267625,382
205,airport,-0.015856178161486285,179
206,aj,0.0005837780787742832,48
207,ak618,-0.013505457392169701,36
208,aka,0.0022759603782301556,88
209,ako,0.0018019610045832699,36
210,al,-0.0031454675137081683,99
211,alarm,-0.0023262801871783713,99
212,alas,-0.004773994329762157,89
213,alaska,0.004225557206781571,35
214,album,0.021863102933944948,516
215,albums,-0.00464408531323432,47
216,alcohol,0.01285089244021866,111
217,alex,6.52732765401526e-05,166
218,alexalltimelow,-0.001652653130588338,100
219,ali,0.007018279351161894,41
220,alice,0.008550878624745083,48
221,alive,-0.005299653562380395,155
222,all,-0.0031349613960199017,12633
223,allen,0.0008256556953973813,70
224,allergic,-0.007660625860647928,75
225,allergies,-0.00902993769075577,79
226,allow,-0.004611439391576659,63
227,allowed,-0.02068469293553282,183
228,ally,0.0018019610045832348,36
229,almost,-0.01383798077624537,927
230,alone,-0.02058962663923524,566
231,along,0.005637456065178025,331
232,alot,-0.008788199586540703,324
233,aloud,0.008644055505960672,38
234,already,-0.013340596615626777,1922
235,alright,0.018106732347554572,473
236,alrighty,0.001801961004583271,43
237,also,0.0016995870720082859,1519
238,altho,-0.001815794329126193,34
239,although,-0.013407941289823467,316
240,always,0.019576173056582092,2553
241,alyssa,-0.0012839176811155447,46
242,am,-0.06909652818347176,39166
243,amanda,0.005698299004859386,95
244,amazed,0.007018279351161901,37
245,amazing,0.04167844450386132,1486
246,amazon,0.002851823010158316,80
247,amber,0.0031214002000447987,43
248,amen,-0.0018157943291261505,46
249,america,-0.017404208544123608,146
250,american,0.011852591331584615,159
251,among,-0.006996403002105826,42
252,amount,0.0022136857137461325,77
253,amp,0.0038099092900603566,8132
254,amsterdam,-0.004644085313234329,32
255,amusing,0.006981646789585012,45
256,amy,0.01006773667848898,127
257,an,-0.002507446272170982,4596
258,and,-0.015749667878641946,41615
259,andrea,-0.004644085313234325,45
260,andrew,0.004225557206781576,62
261,andy,0.002747736696000422,158
262,andyclemmensen,0.013715897725231949,177
263,andyhurleyday,0.009831494607997288,102
264,ang,0.005811641470782898,59
265,angel,0.011852591331584632,156
266,angels,-0.009223129845074642,156
267,anger,-0.004946956615578574,32
268,angry,-0.02038831995776099,144
269,animal,0.0015899625605594477,62
270,animals,0.008550878624745104,68
271,anime,-0.004611439391576625,35
